Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
artrite reumatoide,C0003873,stanchezza - fatica,C0015672
artrite reumatoide,C0003873,sudore notturno,C0028081
anemia,C0002871,affaticamento,C0015672
anemia,C0002871,mal di testa,C0018681
anemia,C0002871,difficoltà nel respirare,C0231807
anemia,C0002871,tachicardia,C0039239
anemia,C0002871,vertigini,C0012833
sincope,C0039070,perdita di coscienza,C0041657
sincope,C0039070,vertigini,C0012833
sincope,C0039070,lividi a chiazze,C0030232
sclerosi multipla,C0026769,diminuzione della vista,C0029134
sclerosi multipla,C0026769,formicolio,C0016579
sclerosi multipla,C0026769,disturbi della sensibilità della pelle,C0012766
sclerosi multipla,C0026769,incapacità nella coordinazione dell'equilibrio,C0004134
sclerosi multipla,C0026769,dolore agli occhi,C0085582
sclerosi multipla,C0026769,disturbi alla vista,C0029124
sclerosi multipla,C0026769,paralisi facciale,C0271355
sclerosi multipla,C0026769,sensibilità alla luce,C0028738
sclerosi multipla,C0026769,depressione,C0011570
sclerosi multipla,C0026769,difficoltà nel movimento,C0231687
sclerosi multipla,C0026769,tremore,C0234376
sclerosi multipla,C0026769,dolore al volto,C0040997
sclerosi multipla,C0026769,disfunzione erettile,C0242350
sclerosi multipla,C0026769,euforia,C0235146
sclerosi multipla,C0026769,visione doppia,C0012569
sclerosi multipla,C0026769,perdita della sensibilità,C0852415
sclerosi multipla,C0026769,urine frequenti,C0085606
sclerosi multipla,C0026769,ritenzione urinaria,C0080274
Ipokaliemia (bassi livelli di potassio nel sangue),C0020621,paralisi e paresi,C1697844
Ipokaliemia (bassi livelli di potassio nel sangue),C0020621,costipazione,C0009806
Ipokaliemia (bassi livelli di potassio nel sangue),C0020621,affaticamento,C0035410
insufficienza venosa cronica,C1306557,crampi notturni,C0042345
insufficienza venosa cronica,C1306557,edema - accumulo di liquido,C0013604
insufficienza venosa cronica,C1306557,perdita della sensibilità,C0852415
insufficienza venosa cronica,C1306557,lividi a chiazze,C0034150
insufficienza venosa cronica,C1306557,affaticamento,C0019114
insufficienza venosa cronica,C1306557,macchie scure sulla pelle,C0162834
insufficienza venosa cronica,C1306557,inspessimento della pelle,C0011644
insufficienza venosa cronica,C1306557,dolore alle gambe,C0406500
insufficienza venosa cronica,C1306557,dolore ai polpacci,C1306862
insufficienza venosa cronica,C1306557,escoriazioni e lesioni,C0011620
insufficienza venosa cronica,C1306557,prurito,C0033774
insufficienza venosa cronica,C1306557,lividi a chiazze,C0030232
insufficienza venosa cronica,C1306557,cianosi - colorito bluastro-violaceo di pelle,C0010520
colelitiasi,C0008350,sensazione di pressione,C0234222
colelitiasi,C0008350,nausea,C0027497
colelitiasi,C0008350,vomito,C0042963
colelitiasi,C0008350,nausea e sazietà,C3714614
colelitiasi,C0008350,pancia gonfia,C1291077
ipertiroidismo,C0020550,rigonfiamento del collo,C0018021
ipertiroidismo,C0020550,irritabilità,C0022107
ipertiroidismo,C0020550,insonnia,C0917801
ipertiroidismo,C0020550,tachicardia,C0039239
ipertiroidismo,C0020550,aumento dell'appetito,C0006370
ipertiroidismo,C0020550,sudore,C0038990
ipertiroidismo,C0020550,dolore al petto,C0026848
ipertiroidismo,C0020550,osteoporosi,C0029456
ipertiroidismo,C0020550,fegato ingrossato,C0015695
ipertiroidismo,C0020550,sporgenza degli occhi ,C0015397
ipertiroidismo,C0020550,agitazione,C3887611
ipertiroidismo,C0020550,disturbi del sonno,C0851578
ipertiroidismo,C0020550,tachicardia,C0003811
ipertiroidismo,C0020550,tremore,C0040822
ipertiroidismo,C0020550,perdita di peso,C2363736
ipertiroidismo,C0020550,debolezza nelle braccia,C0947912
ipertiroidismo,C0020550,diarrea,C0011991
ipertiroidismo,C0020550,perdita dei capelli,C0002170
ipertiroidismo,C0020550,agitazione,C3887611
ipertiroidismo,C0020550,perdita di peso,C2363736
ipertiroidismo,C0020550,pressione alta,C0020538
ipertiroidismo,C0020550,diarrea,C0011991
meningite,C0025289,dolore alle braccia,C0023518
meningite,C0025289,vomito,C0042963
meningite,C0025289,confusione,C0009676
meningite,C0025289,febbre,C0015967
meningite,C0025289,mal di testa,C0018681
meningite,C0025289,nausea,C0027497
meningite,C0025289,dolore al collo,C0151315
meningite,C0025289,spasmi muscolari,C0151818
meningite,C0025289,disturbi della coscienza,C0947927
meningite,C0025289,affaticamento,C0085632
meningite,C0025289,convulsioni,C0026821
meningite,C0025289,riduzione della vista,C0030353
meningite,C0025289,paura della luce,C0085636
meningite,C0025289,numerosi puntini rossi sulla pelle,C0031256
meningite,C0025289,mal di schiena,C0004604
insufficienza renale cronica,C0022661,mal di testa,C0018681
insufficienza renale cronica,C0022661,confusione,C0009676
insufficienza renale cronica,C0022661,convulsioni,C0026821
insufficienza renale cronica,C0022661,debolezza,C0020461
insufficienza renale cronica,C0022661,liquido nei polmoni,C0034063
insufficienza renale cronica,C0022661,alito cattivo,C0018520
insufficienza renale cronica,C0022661,prurito,C0033774
insufficienza renale cronica,C0022661,anemia - pallore,C0002871
insufficienza renale cronica,C0022661,perdita di coscienza,C0041657
insufficienza renale cronica,C0022661,edema - accumulo di liquido,C0013604
sindrome nefrosica,C0027726,accumulo di liquido nell'addome,C0003962
sindrome nefrosica,C0027726,suscettibilità alle infezioni,C0236171
sindrome nefrosica,C0027726,pressione alta,C0020538
sindrome nefrosica,C0027726,insufficienza renale,C1565489
sindrome nefrosica,C0027726,disidratazione,C0151578
sindrome nefrosica,C0027726,colesterolo alto,C1522133
sindrome nefrosica,C0027726,trigliceridi alti,C0020557
sindrome nefrosica,C0027726,dolore al petto,C0020443
sindrome nefrosica,C0027726,urine torbide,C0392178
sindrome nefrosica,C0027726,edema - accumulo di liquido,C0013604
sindrome nefrosica,C0027726,urine schiumose,C0033687
uremia,C0041948,sonnolenza,C0013144
uremia,C0041948,amnesia,C0002622
uremia,C0041948,perdita di coscienza,C1737242
uremia,C0041948,singhiozzo,C0019521
uremia,C0041948,edema cerebrale,C0006114
uremia,C0041948,perdita della vista di un solo occhio,C0376288
uremia,C0041948,movimento involontario di un occhio,C0002418
uremia,C0041948,anoressia,C0003123
uremia,C0041948,accumulo di liquido nell'addome,C0003962
uremia,C0041948,gastrite,C0017152
uremia,C0041948,dolore allo stomaco,C0038358
uremia,C0041948,disturbi dell'umore,C0494305
uremia,C0041948,assenza del ciclo,C0002453
uremia,C0041948,impotenza,C0242350
uremia,C0041948,anemia - pallore,C0002871
uremia,C0041948,suscettibilità alle infezioni,C0236171
uremia,C0041948,dolore alle braccia,C0031046
uremia,C0041948,affaticamento,C2721728
uremia,C0041948,pressione alta,C0020538
uremia,C0041948,liquido nei polmoni,C0034063
uremia,C0041948,brividi,C0032231
uremia,C0041948,prurito,C0033774
uremia,C0041948,perdita di peso,C0002726
ipotiroidismo,C0020676,affaticamento,C0015672
ipotiroidismo,C0020676,riduzione dei movimenti,C0424230
ipotiroidismo,C0020676,lividi a chiazze,C0030232
ipotiroidismo,C0020676,aumento di peso,C0043094
ipotiroidismo,C0020676,"fiato corto, alterazione battiti del cuore",C0018800
ipotiroidismo,C0020676,dolore al petto,C0026848
ipotiroidismo,C0020676,infertilità,C0021359
ipotiroidismo,C0020676,depressione,C0011570
ipotiroidismo,C0020676,abbassamento della temperatura corporea,C0020672
ipotiroidismo,C0020676,difficoltà nel respirare,C3203358
ipotiroidismo,C0020676,"vertigini, capogiri e confusione",C0020649
ipotiroidismo,C0020676,stanchezza - fatica,C0015672
ipotiroidismo,C0020676,pelle secca,C0151908
ipotiroidismo,C0020676,perdita dei capelli,C0002170
ipotiroidismo,C0020676,sensazione di svenimento,C0428977
ipotiroidismo,C0020676,inspessimento della pelle,C0027145
ipotiroidismo,C0020676,costipazione,C0009806
ipotiroidismo,C0020676,disturbi del metabolismo dei grassi,C0154251
tubercolosi,C0041296,tosse,C0010200
tubercolosi,C0041296,ingrossamento dei linfonodi,C0497156
tubercolosi,C0041296,febbre,C0015967
tubercolosi,C0041296,sudore notturno,C0028081
tubercolosi,C0041296,perdita di peso,C2363736
tubercolosi,C0041296,stanchezza - fatica,C0015672
tubercolosi,C0041296,difficoltà nel respirare,C0231807
addome acuto,C0235295,nausea,C0027497
addome acuto,C0235295,coliche,C0232488
addome acuto,C0235295,vomito,C0042963
ipertensione polmonare,C0020542,tachicardia,C0039239
ipertensione polmonare,C0020542,vertigini,C0012833
ipertensione polmonare,C0020542,fegato ingrossato,C0156195
ipertensione polmonare,C0020542,difficoltà nel respirare,C0013404
ipertensione polmonare,C0020542,tosse,C0010200
ipertensione polmonare,C0020542,"dolore al torace, mancanza di ossigeno",C0002962
ipertensione polmonare,C0020542,affaticamento,C0015672
ipertensione polmonare,C0020542,edema - accumulo di liquido,C0013604
ipertensione polmonare,C0020542,cianosi - colorito bluastro-violaceo di pelle,C0010520
granulomatosi con poliangioite,C3495801,sinusite,C0037199
granulomatosi con poliangioite,C3495801,dolore all'orecchio,C0029877
granulomatosi con poliangioite,C3495801,dolore alla mascella,C0024904
granulomatosi con poliangioite,C3495801,lacrimazione e dolore all'occhio,C0014583
granulomatosi con poliangioite,C3495801,dolori articolari,C0003862
granulomatosi con poliangioite,C3495801,formicolio,C0031117
granulomatosi con poliangioite,C3495801,febbre,C0015967
granulomatosi con poliangioite,C3495801,perdita di peso,C2363736
granulomatosi con poliangioite,C3495801,sudore notturno,C0028081
granulomatosi con poliangioite,C3495801,starnuti,C0035455
granulomatosi con poliangioite,C3495801,dolore allo stomaco,C2609241
granulomatosi con poliangioite,C3495801,foruncoli,C0042384
ipoglicemia,C0020615,tremori,C0542247
ipoglicemia,C0020615,sudore,C0038990
ipoglicemia,C0020615,palpitazioni,C0030252
ipoglicemia,C0020615,tachicardia,C0039239
ipoglicemia,C0020615,aumento dell'appetito,C0006370
ipoglicemia,C0020615,lividi a chiazze,C0030232
ipoglicemia,C0020615,nausea,C0027497
ipoglicemia,C0020615,vomito,C0042963
ipoglicemia,C0020615,debolezza,C3714552
ipoglicemia,C0020615,agitazione,C3887611
ipoglicemia,C0020615,sudore,C0038990
ipoglicemia,C0020615,tachicardia,C0039239
ipoglicemia,C0020615,tremore,C0040822
ipoglicemia,C0020615,dilatazione delle pupille,C0026961
ipoglicemia,C0020615,pressione alta,C0020538
ipoglicemia,C0020615,aumento della frequenza respiratoria,C0231835
ipoglicemia,C0020615,mal di testa,C0018681
ipoglicemia,C0020615,carcinoma endocrino,C1704374
ipoglicemia,C0020615,irritabilità,C0022107
ipoglicemia,C0020615,smorfie,C0239779
ipoglicemia,C0020615,visione doppia,C0012569
ipoglicemia,C0020615,sonnolenza,C0013144
depressione,C0011570,perdita di appetito,C0013415
depressione,C0011570,umore depresso,C0011570
depressione,C0011570,affaticamento,C0015672
ascite,C0003962,pancia gonfia,C1291077
feocromocitoma,C0031511,pressione alta,C0020538
feocromocitoma,C0031511,mal di testa,C0018681
feocromocitoma,C0031511,sudore,C0038990
feocromocitoma,C0031511,palpitazioni,C0030252
feocromocitoma,C0031511,tremore,C0040822
feocromocitoma,C0031511,agitazione,C3887611
feocromocitoma,C0031511,dolore addominale,C0000737
feocromocitoma,C0031511,lividi a chiazze,C0030232
feocromocitoma,C0031511,dolore alle braccia,C0023518
feocromocitoma,C0031511,perdita di peso,C2363736
feocromocitoma,C0031511,aumento dell'appetito,C0342952
feocromocitoma,C0031511,mani fredde,C0042396
feocromocitoma,C0031511,tachicardia,C0039239
feocromocitoma,C0031511,difficoltà di concentrazione,C0596624
itterizia,C0022346,cirrosi epatica,C0023890
itterizia,C0022346,epatite,C0019158
glomerulonefrite,C0017658,sindrome nefrosica,C0027726
glomerulonefrite,C0017658,urine schiumose,C0033687
glomerulonefrite,C0017658,edema - accumulo di liquido,C0013604
glomerulonefrite,C0017658,affaticamento,C0020476
glomerulonefrite,C0017658,pressione alta,C0020538
ipotensione,C0020649,vertigini,C0012833
ipotensione,C0020649,debolezza,C3203485
ipotensione,C0020649,tachicardia,C0039239
ipotensione,C0020649,mal di testa,C0018681
ipotensione,C0020649,lividi a chiazze,C0030232
ipotensione,C0020649,tremore,C0040822
dissezione aortica,C0340643,tachicardia,C0038454
dissezione aortica,C0340643,diminuzione delle urine,C0003460
dissezione aortica,C0340643,dolore al petto,C0008031
dissezione aortica,C0340643,"dolore al torace, mancanza di ossigeno",C0002962
dissezione aortica,C0340643,mal di schiena,C0004604
dissezione aortica,C0340643,paura,C0235106
dissezione aortica,C0340643,agitazione,C0007177
dissezione aortica,C0340643,difficoltà nel respirare,C0036974
tonsillite,C0040425,alito cattivo,C0018520
tonsillite,C0040425,ingrossamento dei linfonodi,C0497156
herpes zoster,C0854330,vescicole,C1622418
herpes zoster,C0854330,numerosi puntini rossi sulla pelle,C0022504
iperplasia prostatica benigna,C1704272,dolore e bruciore mentre si urina,C0042023
iperplasia prostatica benigna,C1704272,urine frequenti,C0028734
carcinoma pancreatico,C0235974,perdita di peso,C2363736
carcinoma pancreatico,C0235974,mal di schiena,C0004604
carcinoma pancreatico,C0235974,ittero - pelle giallastra,C0022346
carcinoma pancreatico,C0235974,dolore lungo le vene,C0152250
carcinoma pancreatico,C0235974,nausea,C0027497
carcinoma pancreatico,C0235974,urine marroni,C1142277
carcinoma pancreatico,C0235974,prurito,C0033774
carcinoma pancreatico,C0235974,diarrea,C0011991
carcinoma pancreatico,C0235974,feci untuose,C0038238
carcinoma pancreatico,C0235974,perdita di appetito,C0003123
carcinoma pancreatico,C0235974,nausea e sazietà,C3714614
carcinoma pancreatico,C0235974,pancia gonfia,C1291077
carcinoma pancreatico,C0235974,sensazione di sete,C0271650
carcinoma pancreatico,C0235974,diarrea,C0011991
carcinoma pancreatico,C0235974,feci untuose,C0038238
carcinoma pancreatico,C0235974,perdita di peso,C2363736
carcinoma pancreatico,C0235974,dolore addominale,C0000737
carcinoma pancreatico,C0235974,prurito,C0033774
carcinoma pancreatico,C0235974,mal di schiena,C0004604
diabete insipido,C0011848,urine frequenti,C0032617
diabete insipido,C0011848,aumento dell'appetito,C0085602
ipercalcemia,C0020437,nausea,C0027497
ipercalcemia,C0020437,vomito,C0042963
ipercalcemia,C0020437,costipazione,C0009806
ipercalcemia,C0020437,calcoli urinari,C0392525
ipercalcemia,C0020437,sangue nelle urine,C0027709
ipercalcemia,C0020437,urine frequenti,C0032617
ipercalcemia,C0020437,aumento dell'appetito,C0085602
ipercalcemia,C0020437,sonnolenza,C0013144
ipercalcemia,C0020437,coma,C0009421
febbre ghiandolare,C0021345,febbre,C0015967
febbre ghiandolare,C0021345,alito cattivo,C0018520
febbre ghiandolare,C0021345,faringite,C0031350
febbre ghiandolare,C0021345,ingrossamento dei linfonodi,C0497156
febbre ghiandolare,C0021345,dolore durante la deglutizione,C0031157
anemia da carenza di ferro,C0162316,prurito,C0033774
anemia da carenza di ferro,C0162316,agitazione,C3887611
anemia da carenza di ferro,C0162316,difficoltà nel respirare,C0013404
anemia da carenza di ferro,C0162316,debolezza,C3714552
anemia da carenza di ferro,C0162316,mal di testa,C0018681
anemia da carenza di ferro,C0162316,tachicardia,C0039239
anemia da carenza di ferro,C0162316,difficoltà nel respirare,C0231807
anemia da carenza di ferro,C0162316,affaticamento,C0015672
anemia da carenza di ferro,C0162316,ronzio nelle orecchie,C0040264
anemia da carenza di ferro,C0162316,stanchezza - fatica,C0015672
anemia da carenza di ferro,C0162316,vertigini,C0012833
anemia da carenza di ferro,C0162316,palpitazioni,C0030252
anemia da carenza di ferro,C0162316,disturbi del sonno,C0851578
anemia da carenza di ferro,C0162316,mal di testa,C0018681
morbo di hodgkin,C0852445,prurito,C0033774
morbo di hodgkin,C0852445,nausea e sazietà,C0038002
morbo di hodgkin,C0852445,fegato ingrossato,C0019209
morbo di hodgkin,C0852445,febbre,C0015967
morbo di hodgkin,C0852445,sudore notturno,C0028081
morbo di hodgkin,C0852445,perdita di peso,C2363736
morbo di hodgkin,C0852445,stanchezza - fatica,C0015672
morbo di hodgkin,C0852445,ingrossamento dei linfonodi,C0497156
morbo di reiter,C0035012,dolori articolari,C0085435
morbo di reiter,C0035012,dolore e bruciore mentre si urina,C0041976
morbo di reiter,C0035012,atrite,C0003864
morbo di reiter,C0035012,congiuntivite,C0009763
shock,C0036974,cianosi - colorito bluastro-violaceo di pelle,C0010520
shock,C0036974,diminuzione delle urine,C0028961
shock,C0036974,aumento della frequenza respiratoria,C0231835
fibrosi cistica,C0010674,tosse,C0010200
fibrosi cistica,C0010674,riduzione della massa muscolare,C0013990
fibrosi cistica,C0010674,carenza di vitamine,C0030293
fibrosi cistica,C0010674,diarrea,C0011991
fibrosi cistica,C0010674,perdita di peso,C0006625
fibrosi cistica,C0010674,cirrosi,C1623038
fibrosi cistica,C0010674,colelitiasi,C0008350
fibrosi cistica,C0010674,infertilità,C0021359
fibrosi cistica,C0010674,vomito,C2939175
fibrosi cistica,C0010674,ostruzioni (feci e gas),C0028778
endocardite,C0014118,febbre,C0015967
endocardite,C0014118,difficoltà nel respirare,C0018808
endocardite,C0014118,anoressia,C0003123
endocardite,C0014118,sangue nelle urine,C0018965
sindrome di raynaud,C0034734,lividi a chiazze,C0030232
sindrome di raynaud,C0034734,disturbi alla vista,C0022116
sindrome di raynaud,C0034734,cianosi - colorito bluastro-violaceo di pelle,C0010520
sindrome di raynaud,C0034734,dolore al petto,C0030193
schizofrenia,C0036341,delirio,C0022492
schizofrenia,C0036341,follia,C0233682
schizofrenia,C0036341,paranoia,C0233687
schizofrenia,C0036341,euforia,C0235146
schizofrenia,C0036341,ambivalenza affettiva,C4049320
schizofrenia,C0036341,autismo,C0004352
schizofrenia,C0036341,disturbo della personalità,C0011551
schizofrenia,C0036341,allucinazioni,C0018524
schizofrenia,C0036341,stato catatonico,C0007398
emorragia subaracnoidea,C0038525,mal di testa,C0025287
emorragia subaracnoidea,C0038525,disturbi della coscienza,C0947927
emorragia subaracnoidea,C0038525,vomito,C0042963
emorragia subaracnoidea,C0038525,"vertigini, capogiri e confusione",C0020649
epatite alcolica,C0019180,dolore addominale,
epatite alcolica,C0019181,febbre,
epatite alcolica,C0019182,perdita dell’appetito,
epatite alcolica,C0019183,nausea,
epatite alcolica,C0019184,vomito,
epatite alcolica,C0019185,debolezza,
epatite alcolica,C0019186,ittero - pelle giallastra,
epatite alcolica,C0019187,fegato ingrossato,C0015695
policitemia,C0032461,debolezza,C1527405
policitemia,C0032461,"arrossamento cutaneo, prurito",C0041834
policitemia,C0032461,prurito,C0033774
policitemia,C0032461,dolore lungo le vene,C0014804
policitemia,C0032461,vertigini,C0012833
policitemia,C0032461,mal di testa,C0018681
policitemia,C0032461,affaticamento,C0015672
policitemia,C0032461,sangue dal naso,C0014591
policitemia,C0032461,disturbi alla vista,C0547030
policitemia,C0032461,pressione alta,C0020538
morbo di behcet,C0004943,"arrossamento cutaneo, prurito",C0014743
morbo di behcet,C0004943,foruncoli,C0042384
morbo di behcet,C0004943,intolleranza alla luce,C0042165
morbo di behcet,C0004943,dolore agli occhi,C0042167
morbo di behcet,C0004943,atrite,C0003864
morbo di behcet,C0004943,ulcera,C0157738
morbo di behcet,C0004943,foruncoli,C0042384
morbo di behcet,C0004943,stomatite,C0038363
morbo di behcet,C0004943,riduzione della vista,C0042164
delirio,C0011206,disturbi della coscienza,C0947927
delirio,C0011206,incrocia le gambe senza sosta,C0392156
delirio,C0011206,agitazione,C0085631
delirio,C0011206,allucinazioni,C0018524
delirio,C0011206,tremore,C0040822
delirio,C0011206,pressione alta,C0020538
delirio,C0011206,tachicardia,C0039239
delirio,C0011206,febbre,C0015967
sindrome ortostatica,C0020651,"vertigini, capogiri e confusione",C0020649
sindrome ortostatica,C0020651,vertigini,C0012833
sindrome ortostatica,C0020651,disturbi della coscienza,C0947927
dermatomiosite,C0011633,brividi,C0027121
dermatomiosite,C0011633,febbre,C0015967
dermatomiosite,C0011633,debolezza alle gambe,C0011633
dermatomiosite,C0011633,difficoltà nel deglutire,C0011168
dermatomiosite,C0011633,alito cattivo,C0549493
dermatomiosite,C0011633,dolori muscolari e articolari,C0034069
dermatomiosite,C0011633,atrite,C0003864
dermatomiosite,C0011633,dolore alle braccia,C0023518
dermatomiosite,C0011633,prurito,C0041834
dermatomiosite,C0011633,lividi,C0085642
dermatomiosite,C0011633,atrofia muscolare,C0026846
dermatomiosite,C0011633,depositi sottocutanei,C0006664
sichelzellanaemie,C0002895,sonnolenza,C0242184
sichelzellanaemie,C0002895,disidratazione,C0011175
sichelzellanaemie,C0002895,nausea,C0001122
sichelzellanaemie,C0002895,anemia - pallore,C0019054
emocromatosi,C0018995,disfunzione erettile,C0020619
emocromatosi,C0018995,dolori articolari,C0003862
emocromatosi,C0018995,cirrosi epatica,C0023890
emocromatosi,C0018995,atrosi,C0033802
emocromatosi,C0018995,infertilità,C0021359
"encefalopatia, epatica",C0019151,confusione,C0009676
"encefalopatia, epatica",C0019151,sonnolenza,C0013144
"encefalopatia, epatica",C0019151,riduzione dei movimenti,C0424230
"encefalopatia, epatica",C0019151,disturbi del sonno,C0851578
"encefalopatia, epatica",C0019151,affaticamento,C0085632
"encefalopatia, epatica",C0019151,alito cattivo,C0239571
"encefalopatia, epatica",C0019151,tremore,C0040822
"encefalopatia, epatica",C0019151,sonnolenza,C0013144
amiloidosi,C0002726,urine schiumose,C0033687
amiloidosi,C0002726,edema - accumulo di liquido,C0013604
amiloidosi,C0002726,formicolio,C0031117
amiloidosi,C0002726,fegato ingrossato,C0019209
amiloidosi,C0002726,ingrossamento della lingua,C0009677
amiloidosi,C0002726,dolori articolari,C0003862
amiloidosi,C0002726,perdita dei capelli,C0002170
sindrome da distress respiratorio acuto,C0035222,palpitazioni,C0020578
sindrome da distress respiratorio acuto,C0035222,aumento della frequenza respiratoria,C0002064
sindrome da distress respiratorio acuto,C0035222,vampate di calore,C0013404
sindrome da distress respiratorio acuto,C0035222,insufficienza respiratoria,C0035229
sindrome da distress respiratorio acuto,C0035222,"arrossamento cutaneo, prurito",C0020440
sindrome da distress respiratorio acuto,C0035222,sonnolenza,C0001127
sindrome da distress respiratorio acuto,C0035222,aumento della frequenza respiratoria,C0231835
sindrome da distress respiratorio acuto,C0035222,difficoltà nel respirare,C0013404
sindrome da distress respiratorio acuto,C0035222,cianosi - colorito bluastro-violaceo di pelle,C0010520
sindrome da distress respiratorio acuto,C0035222,agitazione,C3887611
sindrome da distress respiratorio acuto,C0035222,confusione,C0009676
cardiopatia ipertensiva,C1144799,mal di testa,C0018681
cardiopatia ipertensiva,C1144799,vertigini,C0012833
cardiopatia ipertensiva,C1144799,sangue dal naso,C0014591
cardiopatia ipertensiva,C1144799,disturbi alla vista,C0547030
cardiopatia ipertensiva,C1144799,confusione,C0009676
cardiopatia ipertensiva,C1144799,difficoltà nel respirare,C0013404
cardiopatia ipertensiva,C1144799,"dolore al torace, mancanza di ossigeno",C0002962
cardiopatia ipertensiva,C1144799,diminuzione delle urine,C0028961
essiccosi,C0011175,agitazione,C0085631
essiccosi,C0011175,sonnolenza,C0013144
essiccosi,C0011175,diminuzione delle urine,C0028961
essiccosi,C0011175,"vertigini, capogiri e confusione",C0020649
Iperaldosteronismo primario ,C1384514,pressione alta,C0020538
Iperaldosteronismo primario ,C1384514,affaticamento,C0020621
Iperaldosteronismo primario ,C1384514,vomito,C0220983
Iperaldosteronismo primario ,C1384514,pressione alta,C0020538
Iperaldosteronismo primario ,C1384514,affaticamento,C0020621
affaticamento,C0034072,difficoltà nel respirare,C0231807
affaticamento,C0034072,tachicardia,C0039239
affaticamento,C0034072,vertigini,C0012833
affaticamento,C0034072,"dolore al torace, mancanza di ossigeno",C0002962
reflusso gastroesofageo,C0017168,sensazione di pressione,C0234222
reflusso gastroesofageo,C0017168,pancia gonfia,C1291077
reflusso gastroesofageo,C0017168,flatulenza,C0016204
reflusso gastroesofageo,C0017168,difficoltà nel deglutire,C0011168
reflusso gastroesofageo,C0017168,rigurgito,C2004489
reflusso gastroesofageo,C0017168,nausea,C0027497
reflusso gastroesofageo,C0017168,vomito,C0042963
reflusso gastroesofageo,C0017168,bruciore di stomaco,C0018834
reflusso gastroesofageo,C0017168,"dolore al torace, mancanza di ossigeno",C0002962
reflusso gastroesofageo,C0017168,dolore al petto,C0030193
reflusso gastroesofageo,C0017168,sensazione di pressione,C0234222
reflusso gastroesofageo,C0017168,rigurgito,C2004489
psoriasi,C0033860,retinoide,C0035339
psoriasi,C0033860,gonfiore delle dita,C0239161
sindrome mielodisplastica,C1268964,anemia - pallore,C0010828
sindrome mielodisplastica,C1268964,anemia - pallore,C0002871
sindrome mielodisplastica,C1268964,suscettibilità alle infezioni,C0236171
sindrome mielodisplastica,C1268964,febbre,C0015967
sindrome mielodisplastica,C1268964,sanguinamento,C0019087
sindrome mielodisplastica,C1268964,nausea e sazietà,C0038002
sindrome mielodisplastica,C1268964,fegato ingrossato,C0019209
sindrome mielodisplastica,C1268964,rigonfiamento del collo,C0947757
sindrome mielodisplastica,C1268964,anemia - pallore,C0030312
sindrome mielodisplastica,C1268964,brividi,C0858867
sindrome mielodisplastica,C1268964,dolore alle braccia,C0023518
sindrome mielodisplastica,C1268964,numerosi puntini rossi sulla pelle,C0040034
sindrome mielodisplastica,C1268964,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
sindrome mielodisplastica,C1268964,affaticamento,C0085662
sindrome mielodisplastica,C1268964,dolori lombari,C0333942
insufficienza respiratoria,C1145670,paura,C0235106
insufficienza respiratoria,C1145670,disturbi della coscienza,C0947927
insufficienza respiratoria,C1145670,ingrossamento dell'ultima falange,C0009080
insufficienza respiratoria,C1145670,disturbi del sonno,C0851578
insufficienza respiratoria,C1145670,mal di testa,C0018681
insufficienza respiratoria,C1145670,difficoltà nel respirare,C0013404
insufficienza respiratoria,C1145670,cianosi - colorito bluastro-violaceo di pelle,C0010520
insufficienza respiratoria,C1145670,agitazione,C3887611
insufficienza respiratoria,C1145670,confusione,C0009676
insufficienza respiratoria,C1145670,tachicardia,C0039239
ischialgie,C0549346,perdita della sensibilità,C0852415
encefalopatia,C0043121,spasmi e crampi,C0152025
encefalopatia,C0043121,difficoltà nel deglutire,C0011168
encefalopatia,C0043121,difficoltà nel muovere le labbra,C0013362
encefalopatia,C0043121,"vertigini, capogiri e confusione",C0020649
morbo di wilson,C0019202,anemia - pallore,C0002871
morbo di wilson,C0019202,tremore,C0040822
morbo di wilson,C0019202,depressione,C0193388
morbo di wilson,,affaticamento,
morbo di wilson,,ittero - pelle giallastra,
morbo di wilson,,gonfiore delle braccia,
morbo di wilson,,gonfiore delle gambe,
morbo di wilson,,nausea,
morbo di wilson,,perdita dell’appetito,
morbo di wilson,,perdita di bava,
morbo di wilson,C0019202,difficoltà nel deglutire,C0193388
diverticolite,C0012813,costipazione,C0009806
diverticolite,C0012813,diarrea,C0011991
diverticolite,C0012813,flatulenza,C0016204
diverticolite,C0012813,dolore addominale,C0000737
diverticolite,C0012813,febbre,C0015967
diverticolite,C0012813,dolore alle braccia,C0023518
diverticolite,C0012813,febbre,C0015967
diverticolite,C0012813,nausea,C0027497
diverticolite,C0012813,dolore al petto,C0030193
diverticolite,C0012813,vomito,C0042963
morbo di meniere,C0025281,vertigini,C0042571
morbo di meniere,C0025281,perdita dell'udito,C0494562
morbo di meniere,C0025281,ronzio nelle orecchie,C0040264
morbo di meniere,C0025281,nausea,C0027497
morbo di meniere,C0025281,vomito,C0042963
linfoma,C0024305,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
linfoma,C0024305,dolori alle ossa,C1136085
linfoma,C0024305,nausea e sazietà,C0038002
linfoma,C0024305,fegato ingrossato,C0019209
linfoma,C0024305,febbre,C0015967
linfoma,C0024305,perdita di peso,C2363736
linfoma,C0024305,sudore notturno,C0028081
linfoma,C0024305,anemia - pallore,C0002871
